degree,x,exact,approx
1,-1,0.0384615,0.0384615
1,-0.997998,0.03861,0.0384615
1,-0.995996,0.0387594,0.0384615
1,-0.993994,0.0389096,0.0384615
1,-0.991992,0.0390607,0.0384615
1,-0.98999,0.0392126,0.0384615
1,-0.987988,0.0393654,0.0384615
1,-0.985986,0.0395191,0.0384615
1,-0.983984,0.0396737,0.0384615
1,-0.981982,0.0398292,0.0384615
1,-0.97998,0.0399856,0.0384615
1,-0.977978,0.0401429,0.0384615
1,-0.975976,0.0403011,0.0384615
1,-0.973974,0.0404602,0.0384615
1,-0.971972,0.0406203,0.0384615
1,-0.96997,0.0407813,0.0384615
1,-0.967968,0.0409433,0.0384615
1,-0.965966,0.0411062,0.0384615
1,-0.963964,0.04127,0.0384615
1,-0.961962,0.0414349,0.0384615
1,-0.95996,0.0416007,0.0384615
1,-0.957958,0.0417675,0.0384615
1,-0.955956,0.0419352,0.0384615
1,-0.953954,0.042104,0.0384615
1,-0.951952,0.0422738,0.0384615
1,-0.94995,0.0424446,0.0384615
1,-0.947948,0.0426164,0.0384615
1,-0.945946,0.0427893,0.0384615
1,-0.943944,0.0429632,0.0384615
1,-0.941942,0.0431381,0.0384615
1,-0.93994,0.0433141,0.0384615
1,-0.937938,0.0434911,0.0384615
1,-0.935936,0.0436693,0.0384615
1,-0.933934,0.0438485,0.0384615
1,-0.931932,0.0440288,0.0384615
1,-0.92993,0.0442101,0.0384615
1,-0.927928,0.0443926,0.0384615
1,-0.925926,0.0445763,0.0384615
1,-0.923924,0.044761,0.0384615
1,-0.921922,0.0449468,0.0384615
1,-0.91992,0.0451339,0.0384615
1,-0.917918,0.045322,0.0384615
1,-0.915916,0.0455113,0.0384615
1,-0.913914,0.0457018,0.0384615
1,-0.911912,0.0458935,0.0384615
1,-0.90991,0.0460863,0.0384615
1,-0.907908,0.0462804,0.0384615
1,-0.905906,0.0464757,0.0384615
1,-0.903904,0.0466721,0.0384615
1,-0.901902,0.0468699,0.0384615
1,-0.8999,0.0470688,0.0384615
1,-0.897898,0.047269,0.0384615
1,-0.895896,0.0474705,0.0384615
1,-0.893894,0.0476732,0.0384615
1,-0.891892,0.0478772,0.0384615
1,-0.88989,0.0480825,0.0384615
1,-0.887888,0.0482891,0.0384615
1,-0.885886,0.048497,0.0384615
1,-0.883884,0.0487062,0.0384615
1,-0.881882,0.0489168,0.0384615
1,-0.87988,0.0491287,0.0384615
1,-0.877878,0.0493419,0.0384615
1,-0.875876,0.0495566,0.0384615
1,-0.873874,0.0497726,0.0384615
1,-0.871872,0.04999,0.0384615
1,-0.86987,0.0502088,0.0384615
1,-0.867868,0.050429,0.0384615
1,-0.865866,0.0506506,0.0384615
1,-0.863864,0.0508737,0.0384615
1,-0.861862,0.0510982,0.0384615
1,-0.85986,0.0513242,0.0384615
1,-0.857858,0.0515517,0.0384615
1,-0.855856,0.0517807,0.0384615
1,-0.853854,0.0520111,0.0384615
1,-0.851852,0.0522431,0.0384615
1,-0.84985,0.0524766,0.0384615
1,-0.847848,0.0527116,0.0384615
1,-0.845846,0.0529482,0.0384615
1,-0.843844,0.0531864,0.0384615
1,-0.841842,0.0534261,0.0384615
1,-0.83984,0.0536674,0.0384615
1,-0.837838,0.0539104,0.0384615
1,-0.835836,0.0541549,0.0384615
1,-0.833834,0.0544011,0.0384615
1,-0.831832,0.054649,0.0384615
1,-0.82983,0.0548985,0.0384615
1,-0.827828,0.0551497,0.0384615
1,-0.825826,0.0554026,0.0384615
1,-0.823824,0.0556572,0.0384615
1,-0.821822,0.0559135,0.0384615
1,-0.81982,0.0561715,0.0384615
1,-0.817818,0.0564313,0.0384615
1,-0.815816,0.0566929,0.0384615
1,-0.813814,0.0569563,0.0384615
1,-0.811812,0.0572215,0.0384615
1,-0.80981,0.0574885,0.0384615
1,-0.807808,0.0577573,0.0384615
1,-0.805806,0.0580279,0.0384615
1,-0.803804,0.0583005,0.0384615
1,-0.801802,0.0585749,0.0384615
1,-0.7998,0.0588512,0.0384615
1,-0.797798,0.0591295,0.0384615
1,-0.795796,0.0594097,0.0384615
1,-0.793794,0.0596918,0.0384615
1,-0.791792,0.0599759,0.0384615
1,-0.78979,0.060262,0.0384615
1,-0.787788,0.0605501,0.0384615
1,-0.785786,0.0608403,0.0384615
1,-0.783784,0.0611324,0.0384615
1,-0.781782,0.0614267,0.0384615
1,-0.77978,0.061723,0.0384615
1,-0.777778,0.0620214,0.0384615
1,-0.775776,0.062322,0.0384615
1,-0.773774,0.0626247,0.0384615
1,-0.771772,0.0629295,0.0384615
1,-0.76977,0.0632366,0.0384615
1,-0.767768,0.0635458,0.0384615
1,-0.765766,0.0638572,0.0384615
1,-0.763764,0.0641709,0.0384615
1,-0.761762,0.0644869,0.0384615
1,-0.75976,0.0648052,0.0384615
1,-0.757758,0.0651257,0.0384615
1,-0.755756,0.0654486,0.0384615
1,-0.753754,0.0657738,0.0384615
1,-0.751752,0.0661014,0.0384615
1,-0.74975,0.0664314,0.0384615
1,-0.747748,0.0667638,0.0384615
1,-0.745746,0.0670987,0.0384615
1,-0.743744,0.067436,0.0384615
1,-0.741742,0.0677758,0.0384615
1,-0.73974,0.0681182,0.0384615
1,-0.737738,0.068463,0.0384615
1,-0.735736,0.0688104,0.0384615
1,-0.733734,0.0691605,0.0384615
1,-0.731732,0.0695131,0.0384615
1,-0.72973,0.0698683,0.0384615
1,-0.727728,0.0702262,0.0384615
1,-0.725726,0.0705868,0.0384615
1,-0.723724,0.0709502,0.0384615
1,-0.721722,0.0713162,0.0384615
1,-0.71972,0.071685,0.0384615
1,-0.717718,0.0720567,0.0384615
1,-0.715716,0.0724311,0.0384615
1,-0.713714,0.0728084,0.0384615
1,-0.711712,0.0731886,0.0384615
1,-0.70971,0.0735716,0.0384615
1,-0.707708,0.0739576,0.0384615
1,-0.705706,0.0743466,0.0384615
1,-0.703704,0.0747386,0.0384615
1,-0.701702,0.0751336,0.0384615
1,-0.6997,0.0755316,0.0384615
1,-0.697698,0.0759327,0.0384615
1,-0.695696,0.076337,0.0384615
1,-0.693694,0.0767444,0.0384615
1,-0.691692,0.0771549,0.0384615
1,-0.68969,0.0775687,0.0384615
1,-0.687688,0.0779857,0.0384615
1,-0.685686,0.078406,0.0384615
1,-0.683684,0.0788296,0.0384615
1,-0.681682,0.0792566,0.0384615
1,-0.67968,0.0796869,0.0384615
1,-0.677678,0.0801207,0.0384615
1,-0.675676,0.0805578,0.0384615
1,-0.673674,0.0809985,0.0384615
1,-0.671672,0.0814427,0.0384615
1,-0.66967,0.0818904,0.0384615
1,-0.667668,0.0823418,0.0384615
1,-0.665666,0.0827967,0.0384615
1,-0.663664,0.0832554,0.0384615
1,-0.661662,0.0837177,0.0384615
1,-0.65966,0.0841838,0.0384615
1,-0.657658,0.0846536,0.0384615
1,-0.655656,0.0851273,0.0384615
1,-0.653654,0.0856049,0.0384615
1,-0.651652,0.0860863,0.0384615
1,-0.64965,0.0865717,0.0384615
1,-0.647648,0.0870611,0.0384615
1,-0.645646,0.0875545,0.0384615
1,-0.643644,0.088052,0.0384615
1,-0.641642,0.0885536,0.0384615
1,-0.63964,0.0890593,0.0384615
1,-0.637638,0.0895693,0.0384615
1,-0.635636,0.0900835,0.0384615
1,-0.633634,0.090602,0.0384615
1,-0.631632,0.0911248,0.0384615
1,-0.62963,0.091652,0.0384615
1,-0.627628,0.0921836,0.0384615
1,-0.625626,0.0927198,0.0384615
1,-0.623624,0.0932604,0.0384615
1,-0.621622,0.0938057,0.0384615
1,-0.61962,0.0943555,0.0384615
1,-0.617618,0.0949101,0.0384615
1,-0.615616,0.0954694,0.0384615
1,-0.613614,0.0960334,0.0384615
1,-0.611612,0.0966023,0.0384615
1,-0.60961,0.0971761,0.0384615
1,-0.607608,0.0977548,0.0384615
1,-0.605606,0.0983385,0.0384615
1,-0.603604,0.0989273,0.0384615
1,-0.601602,0.0995212,0.0384615
1,-0.5996,0.10012,0.0384615
1,-0.597598,0.100724,0.0384615
1,-0.595596,0.101334,0.0384615
1,-0.593594,0.101949,0.0384615
1,-0.591592,0.102569,0.0384615
1,-0.58959,0.103195,0.0384615
1,-0.587588,0.103826,0.0384615
1,-0.585586,0.104463,0.0384615
1,-0.583584,0.105106,0.0384615
1,-0.581582,0.105754,0.0384615
1,-0.57958,0.106408,0.0384615
1,-0.577578,0.107068,0.0384615
1,-0.575576,0.107733,0.0384615
1,-0.573574,0.108405,0.0384615
