x,g1,g2
0.999,1e-12,1.0002e-12
0.99898,1.08329e-12,1.08313e-12
0.99896,1.17168e-12,1.17195e-12
0.998939,1.26537e-12,1.26521e-12
0.998919,1.36457e-12,1.36458e-12
0.998899,1.46949e-12,1.46982e-12
0.998879,1.58034e-12,1.58062e-12
0.998859,1.69736e-12,1.6972e-12
0.998838,1.82075e-12,1.82054e-12
0.998818,1.95075e-12,1.95044e-12
0.998798,2.0876e-12,2.08722e-12
0.998778,2.23152e-12,2.23177e-12
0.998758,2.38276e-12,2.38276e-12
0.998737,2.54155e-12,2.54141e-12
0.998717,2.70816e-12,2.70817e-12
0.998697,2.88282e-12,2.88314e-12
0.998677,3.0658e-12,3.06621e-12
0.998657,3.25736e-12,3.25739e-12
0.998636,3.45776e-12,3.45768e-12
0.998616,3.66726e-12,3.66751e-12
0.998596,3.88614e-12,3.88634e-12
0.998576,4.11468e-12,4.11471e-12
0.998556,4.35315e-12,4.35307e-12
0.998535,4.60184e-12,4.60187e-12
0.998515,4.86103e-12,4.86122e-12
0.998495,5.13103e-12,5.13101e-12
0.998475,5.41211e-12,5.41189e-12
0.998455,5.7046e-12,5.70477e-12
0.998434,6.00878e-12,6.00864e-12
0.998414,6.32496e-12,6.32461e-12
0.998394,6.65346e-12,6.65357e-12
0.998374,6.9946e-12,6.99463e-12
0.998354,7.34869e-12,7.34834e-12
0.998333,7.71605e-12,7.71616e-12
0.998313,8.09702e-12,8.09719e-12
0.998293,8.49192e-12,8.49198e-12
0.998273,8.9011e-12,8.9011e-12
0.998253,9.32489e-12,9.32454e-12
0.998232,9.76363e-12,9.7633e-12
0.998212,1.02177e-11,1.02176e-11
0.998192,1.06874e-11,1.06873e-11
0.998172,1.11731e-11,1.11731e-11
0.998152,1.16752e-11,1.16751e-11
0.998131,1.2194e-11,1.21942e-11
0.998111,1.27299e-11,1.27297e-11
0.998091,1.32833e-11,1.32835e-11
0.998071,1.38546e-11,1.38548e-11
0.998051,1.4444e-11,1.44442e-11
0.99803,1.50521e-11,1.50522e-11
0.99801,1.56792e-11,1.56795e-11
0.99799,1.63257e-11,1.63259e-11
0.99797,1.6992e-11,1.69921e-11
0.997949,1.76784e-11,1.76786e-11
0.997929,1.83855e-11,1.83858e-11
0.997909,1.91135e-11,1.91135e-11
0.997889,1.9863e-11,1.9863e-11
0.997869,2.06343e-11,2.06345e-11
0.997848,2.14278e-11,2.14282e-11
0.997828,2.2244e-11,2.22442e-11
0.997808,2.30833e-11,2.30835e-11
0.997788,2.39461e-11,2.39462e-11
0.997768,2.4833e-11,2.48329e-11
0.997747,2.57442e-11,2.57441e-11
0.997727,2.66802e-11,2.66802e-11
0.997707,2.76416e-11,2.76416e-11
0.997687,2.86287e-11,2.86288e-11
0.997667,2.9642e-11,2.9642e-11
0.997646,3.06819e-11,3.06819e-11
0.997626,3.1749e-11,3.17492e-11
0.997606,3.28437e-11,3.28439e-11
0.997586,3.39665e-11,3.39665e-11
0.997566,3.51178e-11,3.51179e-11
0.997545,3.62981e-11,3.6298e-11
0.997525,3.7508e-11,3.75079e-11
0.997505,3.87478e-11,3.87481e-11
0.997485,4.00181e-11,4.00177e-11
0.997465,4.13194e-11,4.13195e-11
0.997444,4.26522e-11,4.26521e-11
0.997424,4.40169e-11,4.40169e-11
0.997404,4.54142e-11,4.54143e-11
0.997384,4.68445e-11,4.68444e-11
0.997364,4.83082e-11,4.83086e-11
0.997343,4.98061e-11,4.98059e-11
0.997323,5.13384e-11,5.13383e-11
0.997303,5.29059e-11,5.29061e-11
0.997283,5.4509e-11,5.45091e-11
0.997263,5.61483e-11,5.61482e-11
0.997242,5.78242e-11,5.78242e-11
0.997222,5.95374e-11,5.95378e-11
0.997202,6.12884e-11,6.12885e-11
0.997182,6.30777e-11,6.30779e-11
0.997162,6.49059e-11,6.49056e-11
0.997141,6.67736e-11,6.67737e-11
0.997121,6.86813e-11,6.86816e-11
0.997101,7.06296e-11,7.06295e-11
0.997081,7.26191e-11,7.26189e-11
0.997061,7.46502e-11,7.46502e-11
0.99704,7.67237e-11,7.67235e-11
0.99702,7.88401e-11,7.88403e-11
0.997,8.1e-11,8.10003e-11
