degree,x,exact,approx
1,-1,1,1
1,-0.997998,0.997998,1
1,-0.995996,0.995996,1
1,-0.993994,0.993994,1
1,-0.991992,0.991992,1
1,-0.98999,0.98999,1
1,-0.987988,0.987988,1
1,-0.985986,0.985986,1
1,-0.983984,0.983984,1
1,-0.981982,0.981982,1
1,-0.97998,0.97998,1
1,-0.977978,0.977978,1
1,-0.975976,0.975976,1
1,-0.973974,0.973974,1
1,-0.971972,0.971972,1
1,-0.96997,0.96997,1
1,-0.967968,0.967968,1
1,-0.965966,0.965966,1
1,-0.963964,0.963964,1
1,-0.961962,0.961962,1
1,-0.95996,0.95996,1
1,-0.957958,0.957958,1
1,-0.955956,0.955956,1
1,-0.953954,0.953954,1
1,-0.951952,0.951952,1
1,-0.94995,0.94995,1
1,-0.947948,0.947948,1
1,-0.945946,0.945946,1
1,-0.943944,0.943944,1
1,-0.941942,0.941942,1
1,-0.93994,0.93994,1
1,-0.937938,0.937938,1
1,-0.935936,0.935936,1
1,-0.933934,0.933934,1
1,-0.931932,0.931932,1
1,-0.92993,0.92993,1
1,-0.927928,0.927928,1
1,-0.925926,0.925926,1
1,-0.923924,0.923924,1
1,-0.921922,0.921922,1
1,-0.91992,0.91992,1
1,-0.917918,0.917918,1
1,-0.915916,0.915916,1
1,-0.913914,0.913914,1
1,-0.911912,0.911912,1
1,-0.90991,0.90991,1
1,-0.907908,0.907908,1
1,-0.905906,0.905906,1
1,-0.903904,0.903904,1
1,-0.901902,0.901902,1
1,-0.8999,0.8999,1
1,-0.897898,0.897898,1
1,-0.895896,0.895896,1
1,-0.893894,0.893894,1
1,-0.891892,0.891892,1
1,-0.88989,0.88989,1
1,-0.887888,0.887888,1
1,-0.885886,0.885886,1
1,-0.883884,0.883884,1
1,-0.881882,0.881882,1
1,-0.87988,0.87988,1
1,-0.877878,0.877878,1
1,-0.875876,0.875876,1
1,-0.873874,0.873874,1
1,-0.871872,0.871872,1
1,-0.86987,0.86987,1
1,-0.867868,0.867868,1
1,-0.865866,0.865866,1
1,-0.863864,0.863864,1
1,-0.861862,0.861862,1
1,-0.85986,0.85986,1
1,-0.857858,0.857858,1
1,-0.855856,0.855856,1
1,-0.853854,0.853854,1
1,-0.851852,0.851852,1
1,-0.84985,0.84985,1
1,-0.847848,0.847848,1
1,-0.845846,0.845846,1
1,-0.843844,0.843844,1
1,-0.841842,0.841842,1
1,-0.83984,0.83984,1
1,-0.837838,0.837838,1
1,-0.835836,0.835836,1
1,-0.833834,0.833834,1
1,-0.831832,0.831832,1
1,-0.82983,0.82983,1
1,-0.827828,0.827828,1
1,-0.825826,0.825826,1
1,-0.823824,0.823824,1
1,-0.821822,0.821822,1
1,-0.81982,0.81982,1
1,-0.817818,0.817818,1
1,-0.815816,0.815816,1
1,-0.813814,0.813814,1
1,-0.811812,0.811812,1
1,-0.80981,0.80981,1
1,-0.807808,0.807808,1
1,-0.805806,0.805806,1
1,-0.803804,0.803804,1
1,-0.801802,0.801802,1
1,-0.7998,0.7998,1
1,-0.797798,0.797798,1
1,-0.795796,0.795796,1
1,-0.793794,0.793794,1
1,-0.791792,0.791792,1
1,-0.78979,0.78979,1
1,-0.787788,0.787788,1
1,-0.785786,0.785786,1
1,-0.783784,0.783784,1
1,-0.781782,0.781782,1
1,-0.77978,0.77978,1
1,-0.777778,0.777778,1
1,-0.775776,0.775776,1
1,-0.773774,0.773774,1
1,-0.771772,0.771772,1
1,-0.76977,0.76977,1
1,-0.767768,0.767768,1
1,-0.765766,0.765766,1
1,-0.763764,0.763764,1
1,-0.761762,0.761762,1
1,-0.75976,0.75976,1
1,-0.757758,0.757758,1
1,-0.755756,0.755756,1
1,-0.753754,0.753754,1
1,-0.751752,0.751752,1
1,-0.74975,0.74975,1
1,-0.747748,0.747748,1
1,-0.745746,0.745746,1
1,-0.743744,0.743744,1
1,-0.741742,0.741742,1
1,-0.73974,0.73974,1
1,-0.737738,0.737738,1
1,-0.735736,0.735736,1
1,-0.733734,0.733734,1
1,-0.731732,0.731732,1
1,-0.72973,0.72973,1
1,-0.727728,0.727728,1
1,-0.725726,0.725726,1
1,-0.723724,0.723724,1
1,-0.721722,0.721722,1
1,-0.71972,0.71972,1
1,-0.717718,0.717718,1
1,-0.715716,0.715716,1
1,-0.713714,0.713714,1
1,-0.711712,0.711712,1
1,-0.70971,0.70971,1
1,-0.707708,0.707708,1
1,-0.705706,0.705706,1
1,-0.703704,0.703704,1
1,-0.701702,0.701702,1
1,-0.6997,0.6997,1
1,-0.697698,0.697698,1
1,-0.695696,0.695696,1
1,-0.693694,0.693694,1
1,-0.691692,0.691692,1
1,-0.68969,0.68969,1
1,-0.687688,0.687688,1
1,-0.685686,0.685686,1
1,-0.683684,0.683684,1
1,-0.681682,0.681682,1
1,-0.67968,0.67968,1
1,-0.677678,0.677678,1
1,-0.675676,0.675676,1
1,-0.673674,0.673674,1
1,-0.671672,0.671672,1
1,-0.66967,0.66967,1
1,-0.667668,0.667668,1
1,-0.665666,0.665666,1
1,-0.663664,0.663664,1
1,-0.661662,0.661662,1
1,-0.65966,0.65966,1
1,-0.657658,0.657658,1
1,-0.655656,0.655656,1
1,-0.653654,0.653654,1
1,-0.651652,0.651652,1
1,-0.64965,0.64965,1
1,-0.647648,0.647648,1
1,-0.645646,0.645646,1
1,-0.643644,0.643644,1
1,-0.641642,0.641642,1
1,-0.63964,0.63964,1
1,-0.637638,0.637638,1
1,-0.635636,0.635636,1
1,-0.633634,0.633634,1
1,-0.631632,0.631632,1
1,-0.62963,0.62963,1
1,-0.627628,0.627628,1
1,-0.625626,0.625626,1
1,-0.623624,0.623624,1
1,-0.621622,0.621622,1
1,-0.61962,0.61962,1
1,-0.617618,0.617618,1
1,-0.615616,0.615616,1
1,-0.613614,0.613614,1
1,-0.611612,0.611612,1
1,-0.60961,0.60961,1
1,-0.607608,0.607608,1
1,-0.605606,0.605606,1
1,-0.603604,0.603604,1
1,-0.601602,0.601602,1
1,-0.5996,0.5996,1
1,-0.597598,0.597598,1
1,-0.595596,0.595596,1
1,-0.593594,0.593594,1
1,-0.591592,0.591592,1
1,-0.58959,0.58959,1
1,-0.587588,0.587588,1
1,-0.585586,0.585586,1
1,-0.583584,0.583584,1
1,-0.581582,0.581582,1
1,-0.57958,0.57958,1
1,-0.577578,0.577578,1
1,-0.575576,0.575576,1
1,-0.573574,0.573574,1
1,-0.571572,0.571572,1
1,-0.56957,0.56957,1
1,-0.567568,0.567568,1
1,-0.565566,0.565566,1
1,-0.563564,0.563564,1
1,-0.561562,0.561562,1
1,-0.55956,0.55956,1
1,-0.557558,0.557558,1
1,-0.555556,0.555556,1
1,-0.553554,0.553554,1
1,-0.551552,0.551552,1
1,-0.54955,0.54955,1
1,-0.547548,0.547548,1
1,-0.545546,0.545546,1
1,-0.543544,0.543544,1
1,-0.541542,0.541542,1
1,-0.53954,0.53954,1
1,-0.537538,0.537538,1
1,-0.535536,0.535536,1
1,-0.533534,0.533534,1
1,-0.531532,0.531532,1
1,-0.52953,0.52953,1
1,-0.527528,0.527528,1
1,-0.525526,0.525526,1
1,-0.523524,0.523524,1
1,-0.521522,0.521522,1
1,-0.51952,0.51952,1
1,-0.517518,0.517518,1
1,-0.515516,0.515516,1
1,-0.513514,0.513514,1
1,-0.511512,0.511512,1
1,-0.50951,0.50951,1
1,-0.507508,0.507508,1
1,-0.505506,0.505506,1
1,-0.503504,0.503504,1
1,-0.501502,0.501502,1
1,-0.499499,0.499499,1
1,-0.497497,0.497497,1
1,-0.495495,0.495495,1
1,-0.493493,0.493493,1
1,-0.491491,0.491491,1
1,-0.489489,0.489489,1
1,-0.487487,0.487487,1
1,-0.485485,0.485485,1
1,-0.483483,0.483483,1
1,-0.481481,0.481481,1
1,-0.479479,0.479479,1
1,-0.477477,0.477477,1
1,-0.475475,0.475475,1
1,-0.473473,0.473473,1
1,-0.471471,0.471471,1
1,-0.469469,0.469469,1
1,-0.467467,0.467467,1
1,-0.465465,0.465465,1
1,-0.463463,0.463463,1
1,-0.461461,0.461461,1
1,-0.459459,0.459459,1
1,-0.457457,0.457457,1
1,-0.455455,0.455455,1
1,-0.453453,0.453453,1
1,-0.451451,0.451451,1
1,-0.449449,0.449449,1
1,-0.447447,0.447447,1
1,-0.445445,0.445445,1
1,-0.443443,0.443443,1
1,-0.441441,0.441441,1
1,-0.439439,0.439439,1
1,-0.437437,0.437437,1
1,-0.435435,0.435435,1
1,-0.433433,0.433433,1
1,-0.431431,0.431431,1
1,-0.429429,0.429429,1
1,-0.427427,0.427427,1
1,-0.425425,0.425425,1
1,-0.423423,0.423423,1
1,-0.421421,0.421421,1
1,-0.419419,0.419419,1
1,-0.417417,0.417417,1
